Samples	Station	Depth (m)	Temperature (℃)	Salinity	pH	Chlorophyll a  (μg/L)	Dissolved_oxygen	latitude	longitude	Sampling data	Fraction size	Sequencing strategy	BioProject	BioSample	SAR Accession	Raw data (Gbp)	Clean data (Gbp)	Clean reads number	Clean reads GC (%)	Clean reads Q30	Contigs number	Contigs length (bp)	Contigs GC (%)	Contigs N50	Contig N90
S01_Surface	S01	4	32.15	0.64	7.90 	2.94	6.60 	31.3054	121.718	2022-08-25	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179214	SRR28144606	19.59 	18.51 	63161677	52.66	89.335	1829535	1285603547	53.79	1334	584
S02_Surface	S02	4	28.97	26.08	7.92 	3.72	6.03	31.0816	122.3027	2022-08-25	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179215	SRR28144605	18.64 	17.94 	60835675	50.6	91.24	1035461	866280697	48.11	1760	600
S03_Surface	S03	4	27.78	28.96	8.32 	1.07	7.99	31.2781	122.8883	2022-08-26	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179216	SRR28144588	13.71 	12.74 	43503764	48.01	88.835	1005477	771132085	46.63	1870	615
S03_Bottom	S03	58	20.551	34.253	7.84 	0.64	1.12	31.2781	122.8883	2022-08-26	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179217	SRR28144577	15.23 	14.68 	49690105	45.32	91.175	1514639	1042920281	45.34	1360	584
S04_Surface	S04	4	28.93	33.66	8.19 	0.6	6.54	30.9954	123.5024	2022-08-28	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179218	SRR28144566	15.56 	16.93 	57222377	46.39	91.525	1134067	888546909	45.54	1708	601
S04_Bottom	S04	45	19.88	34.38	7.93 	0.11	2.85	30.9954	123.5024	2022-08-28	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179219	SRR28144555	16.79 	13.40 	45261445	40.27	91.48	1890561	1186668085	41.63	1109	568
S05_Surface	S05	4	24.76	31.21	8.06 	8.14	6.10 	30.7949	122.6331	2022-08-24	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179220	SRR28144544	17.51 	15.24 	51643814	45.32	91.27	1338380	1023253242	44.57	1637	602
S05_Bottom	S05	23	22.57	33.18	7.92 	0.64	3.78	30.7949	122.6331	2022-08-24	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179221	SRR28144533	13.87 	14.04 	47524119	46.46	91.205	1500900	1003340767	45.21	1239	575
S09_Surface	S09	4	28	31.3	8.31 	17.21	8.46	30.0043	122.8316	2022-08-27	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179222	SRR28144522	16.04 	13.85 	47186981	45.47	90.35	1615404	1057122267	41.75	1124	570
S09_Bottom	S09	42	19.46	34.33	7.87 	0.85	1.98	30.0043	122.8316	2022-08-27	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179223	SRR28144511	14.57 	16.04 	54405875	41.77	90.46	2255160	1347648205	41.09	1029	564
S07_Surface_02um_0714	S07	5	22.53 	31.14 	8.11 	15.17 	6.28 	30.1282	122.74599	2022-07-14	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179224	SRR28144604	10.50 	10.48 	34128750	45.2	91.8	1262102	776852134	45.7	1022	555
S07_Middle_02um_0714	S07	25	20.98 	32.25 	8.04 	5.58 	5.41 	30.1282	122.74599	2022-07-14	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179225	SRR28144597	11.96 	11.57 	39061191	45	93.015	903579	665950312	47.5	1488	580
S08_Middle_02um_0714	S08	17	20.80 	32.36 	8.05 	3.65 	3.96 	30.12079	122.72947	2022-07-14	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179226	SRR28144596	11.22 	10.84 	36659599	44.37	92.32	958340	569098667	46.59	916	550
S08_Bottom_02um_0714	S08	40	19.09 	33.68 	7.99 	3.22 	2.73 	30.12079	122.72947	2022-07-14	0.2 μm - 3 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179227	SRR28144595	11.92 	11.59 	38988182	48.76	94.88	1348154	865531140	46.04	1138	563
S07_Surface_3um_0714	S07	5	22.53 	31.14 	8.11 	15.17 	6.28 	30.1282	122.74599	2022-07-14	3 μm - 20 μm	Metagenomic sequencing	PRJNA1081583	SAMN40179228	SRR28144594	15.66 	12.63 	50798527	46.35	92.34	1239889	687952620	45.61	951	546
