samples	size	depth	collection_from	latitude	longitude
A10	0.2-20	3	zheng	22.216	113.738
A12	0.2-20	3	zheng	21.647	112.401
A6	0.2-20	3	zheng	22.704	113.687
A8	0.2-20	3	zheng	22.522	113.734
BH0	0.2-20	3	zheng	38.32	118.898
BH3	0.2-20	3	zheng	38.75	120.248
BH4	0.2-20	3	zheng	39.248	119.75
D22-5m	0.2-20	5	zheng	12	112
D26-5m	0.2-20	5	zheng	12	116
D29-5m	0.2-20	5	zheng	14	112
D7	0.2-20	3	zheng	20.324	115.814
J5-5m	0.2-20	5	zheng	18	112
NS13	0.2-20	3	zheng	39.502	121
NS23	0.2-20	3	zheng	38.998	119.037
NS26	0.2-20	3	zheng	38.497	119.497
NS28	0.2-20	3	zheng	37.998	119.998
NS31	0.2-20	3	zheng	37.7	119.498
NS35	0.2-20	3	zheng	38.037	121.008
NS7	0.2-20	3	zheng	39.003	123
S53-5m	0.2-20	5	zheng	8	112
SEATS-5m	0.2-20	5	zheng	18	116
SF1	0.2-20	3	zheng	21.078	110.901
SF100	0.2-20	3	zheng	22.629	117.403
SF104	0.2-20	3	zheng	22.131	117.601
SF19	0.2-20	3	zheng	21.375	112.031
SF23	0.2-20	3	zheng	20.872	112.235
SF27	0.2-20	3	zheng	20.376	112.436
SF37	0.2-20	3	zheng	20.87	113.433
SF41	0.2-20	3	zheng	21.432	113.57
SF45	0.2-20	3	zheng	21.983	113.703
SF48	0.2-20	3	zheng	22.426	113.73
SF5	0.2-20	3	zheng	20.704	111.051
SF51	0.2-20	3	zheng	22.702	113.688
SF55	0.2-20	3	zheng	21.484	113.899
SF59	0.2-20	3	zheng	20.982	114.106
SF69	0.2-20	3	zheng	22.528	115.101
SF73	0.2-20	3	zheng	22.025	115.305
SF77	0.2-20	3	zheng	21.531	115.519
SF9	0.2-20	3	zheng	20.199	111.252
SF96	0.2-20	3	zheng	23.13	117.199
SS01-5m	0.2-20	5	zheng	14	116
YS23	0.2-20	3	zheng	35.992	122.998
YS4	0.2-20	3	zheng	32.998	123
SRR6322745	20~0.2	2	article	22	116.499
SRR6322751	20~0.2	2	article	21.572	114.582
SRR6322752	20~0.2	2	article	22.572	115.85
SRR6322757	20~0.2	2	article	22.321	116.14
SRR6322759	20~0.2	2	article	22.641	116.951
SRR6322762	20~0.2	2	article	22.097	117.203
SRR6322763	20~0.2	2	article	23.072	116.749
SRR6322766	20~0.2	2	article	21.892	113.093
SRR6322768	20~0.2	2	article	21.677	113.172
SRR6322771	20~0.2	2	article	21.36	113.291
SRR6322774	20~0.2	2	article	21.979	113.59
SRR6322778	20~0.2	2	article	22.118	114.35
SRR6322780	20~0.2	2	article	21.772	113.668
SRR6322783	20~0.2	2	article	21.449	113.79
SRR6322787	20~0.2	2	article	21.899	114.444
SRR11179223	3~0.2	0.5	article	39.28	119.56
SRR11179228	3~0.2	0.5	article	39.2	119.78
SRR18651898	0.7~0.2	0.5	article	35.983	120.425
SRR18651899	0.7~0.2	0.5	article	35.983	120.425
SRR18651900	0.7~0.2	0.5	article	35.983	120.425
SRR18651901	0.7~0.2	0.5	article	35.983	120.425
SRR18651902	0.7~0.2	0.5	article	35.983	120.425
SRR18651903	0.7~0.2	0.5	article	35.983	120.425
SRR18651919	0.7~0.2	0.5	article	36.155	120.33
SRR18651920	0.7~0.2	0.5	article	36.155	120.33
SRR18651921	0.7~0.2	0.5	article	36.155	120.33
SRR18651922	0.7~0.2	0.5	article	36.155	120.33
SRR18651923	0.7~0.2	0.5	article	36.155	120.33
SRR18651924	0.7~0.2	0.5	article	36.155	120.33
SRR20018937	3~0.2	2	article	38	120.3
SRR20018942	3~0.2	2	article	38	119.56
SRR20018946	3~0.2	2	article	38	119.24
SRR20018950	3~0.2	2	article	38.52	119.4
SRR20018959	3~0.2	2	article	39.33	120.55
SRR20018964	3~0.2	2	article	39	120.49
SRR20018968	3~0.2	2	article	39.08	120.2
SRR20018972	3~0.2	2	article	39.1	119.22
SRR20018977	3~0.2	2	article	39	118.58
SRR20018981	3~0.2	2	article	38.4	118.58
SRR20018987	3~0.2	2	article	38.19	119
SRR20018992	3~0.2	2	article	38.19	119.26
SRR20018997	3~0.2	2	article	38.2	120.11
SRR20019001	3~0.2	2	article	38.21	120.46
SRR22403254	>0.2	0.5	article	22.2	113.76
SRR22403257	>0.2	0.5	article	22.33	113.76
SRR22403261	>0.2	0.5	article	21.84	113.82
SRR22403264	>0.2	0.5	article	22	113.71
SRR22403267	>0.2	0.5	article	22.13	113.78
SRR22403270	>0.2	0.5	article	22.32	113.76
SRR22403273	>0.2	0.5	article	22.52	113.72
SRR22403275	>0.2	0.5	article	22.66	113.67
SRR22403278	>0.2	0.5	article	21.89	113.08
SRR22403281	>0.2	0.5	article	21.78	113.09
SRR22403282	>0.2	0.5	article	22.53	113.74
SRR22403285	>0.2	0.5	article	21.67	113.09
SRR22403288	>0.2	0.5	article	21.73	113.53
SRR22403291	>0.2	0.5	article	21.88	113.51
SRR22403295	>0.2	0.5	article	21.97	113.5
SRR22403298	>0.2	0.5	article	21.84	113.82
SRR22403301	>0.2	0.5	article	22.06	113.77
SRR22403305	>0.2	0.5	article	22.67	113.71
SRR12544802	3~0.2	1	article	22.311	114.507
SRR12544808	3~0.2	1	article	21.827	114.431
SRR12544815	3~0.2	1	article	22.137	114.283
SRR12544822	3~0.2	1	article	22.029	113.762
SRR12544828	3~0.2	1	article	22.082	113.743
SRR12544835	3~0.2	1	article	21.412	113.837
SRR12544841	3~0.2	1	article	21.832	113.626
SRR12544842	3~0.2	1	article	22.464	113.765
SRR12544881	3~0.2	1	article	22.088	113.841
SRR12544888	3~0.2	1	article	22.134	113.795
SRR12544894	3~0.2	1	article	22.21	113.801
SRR12544901	3~0.2	1	article	21.992	114.668
SRR12544907	3~0.2	1	article	22.224	114.552
SRR12544912	3~0.2	1	article	22.591	113.741
SRR12578492	3~0.2	1	article	21.656	114.051
SRR12578498	3~0.2	1	article	21.557	113.248
SRR12578501	3~0.2	1	article	21.993	113.547
SRR12578514	3~0.2	1	article	21.266	113.418
SRR12578515	3~0.2	1	article	21.855	113.956
SRR12841272	3~0.2	3	article	37.668	122.478
SRR12841274	3~0.2	3	article	36.434	122.965
SRR12841275	3~0.2	3	article	38.193	122.742
SRR12841277	3~0.2	3	article	38.728	123
SRR12841278	3~0.2	3	article	34	123.977
SRR12841282	3~0.2	3	article	34	123.061
SRR12841285	3~0.2	3	article	34	121.995
SRR12841287	3~0.2	3	article	35	120.993
SRR12841291	3~0.2	3	article	35	121.633
SRR12841294	3~0.2	3	article	35	122.298
SRR12841297	3~0.2	3	article	35	123
SRR12841300	3~0.2	3	article	35	124
SRR12841301	3~0.2	3	article	38.954	123.922
SRR12841304	3~0.2	3	article	36	124
SRR12841307	3~0.2	3	article	36	123
SRR12841310	3~0.2	3	article	36	122.324
SRR12841314	3~0.2	3	article	36	121.672
SRR12841317	3~0.2	3	article	36	121.108
SRR12841320	3~0.2	3	article	37.38	122.841
SRR12841322	3~0.2	3	article	37.38	123.957
SRR12841326	3~0.2	3	article	37.936	121.086
SRR12841328	3~0.2	3	article	38.46	122.015
SRR12841331	3~0.2	3	article	37.915	121.989
SRR12841334	3~0.2	3	article	38.398	123.47
SRR12841335	3~0.2	3	article	37.668	122.478
SRR12841337	3~0.2	3	article	38.193	122.742
SRR12841340	3~0.2	3	article	38.728	123
SRR12841344	3~0.2	3	article	38.398	123.47
